sample_id,anomaly_score,reliability,spectral_deviation,prosodic_deviation,temporal_deviation,duration_sec,exceeds_threshold
english_ai_001,1.5802054681469706,1.0,1.2149804388441423,0.959796070935197,2.565839894661573,3.84,True
english_ai_002,2.226063501146746,1.0,1.7817965053915823,1.2646412171722905,3.6317527808763654,3.288,True
english_ai_003,2.24239711921799,1.0,1.7545943548675518,1.5240528242015063,3.4485441785849114,3.576,True
hindi_ai_001,1.1147451067947083,1.0,0.9545429913891337,1.3795532675914028,1.0101390614035883,3.936,False
hindi_ai_002,1.5826516207517969,1.0,1.5753264353656329,1.035998282755977,2.1366301441337807,2.664,True
hindi_ai_003,1.376130197181846,0.972,1.085909443173138,0.4273490541510555,2.615132094221345,1.944,True
kannada_ai_001,0.9943983124014159,1.0,0.8824542113628752,1.619116275097285,0.4816244507440876,4.224,False
malayalam_ai_001,1.1147589431540421,1.0,1.2269593149981943,0.8108028926028785,1.3065146218610533,3.432,False
tamil_ai_001,0.8065255405468904,1.0,1.1767175025724075,0.7164065842881706,0.526452534780093,4.104,False
tamil_ai_002,1.6772673495909431,1.0,1.5383410458969278,1.068648503736716,2.4248124991391853,2.304,True
telugu_ai_001,1.3416602756275993,1.0,1.590486978419228,0.3123479477972809,2.122145900666289,4.488,True
telugu_ai_002,1.636625456264359,1.0,1.406183638888231,0.6688092126504743,2.834883517254371,2.352,True
